PERIOD_TAG;product_group;customer_name;dispatches_SellIn;orders_SellIn;Sellout;numeric_distribution_selling_promotion;type_promo_1;type_promo_2
2016-08-07;Product_01;Customer_01;130;130;0.0;0.0;0.0;0.0
2016-08-14;Product_01;Customer_01;4;5;102.27403920757254;0.1;0.0;0.0
2016-08-21;Product_01;Customer_01;130;130;93.38064449387059;0.0;0.0;0.0
2016-08-28;Product_01;Customer_01;61;61;101.1623648683598;0.0;0.0;0.0
2016-09-04;Product_01;Customer_01;57;58;120.06082863497646;0.1;0.0;0.0
2016-09-11;Product_01;Customer_01;132;132;202.3247297367196;3.3000000000000003;1.0;1.0
2016-09-18;Product_01;Customer_01;131;131;110.05575958206175;0.0;0.0;0.0
2016-09-25;Product_01;Customer_01;260;260;106.72073656442353;0.5;0.0;0.0
2016-10-02;Product_01;Customer_01;0;0;122.28417731340195;0.5;0.0;0.0
2016-10-09;Product_01;Customer_01;164;164;108.94408524284901;0.0;0.0;0.0
2016-10-16;Product_01;Customer_01;131;131;106.72073656442353;0.0;0.0;0.0
2016-10-23;Product_01;Customer_01;59;59;105.60906222521078;0.0;0.0;0.0
2016-10-30;Product_01;Customer_01;205;205;118.94915429576372;0.0;0.0;0.0
2016-11-06;Product_01;Customer_01;187;187;86.71059845859412;0.0;0.0;0.0
2016-11-13;Product_01;Customer_01;1;1;96.71566751150883;0.0;0.0;0.0
2016-11-20;Product_01;Customer_01;1;154;95.60399317229607;0.8;0.0;0.0
2016-11-27;Product_01;Customer_01;129;129;97.82734185072157;0.1;0.0;0.0
2016-12-04;Product_01;Customer_01;203;203;105.60906222521078;0.0;0.0;0.0
2016-12-11;Product_01;Customer_01;167;167;102.27403920757254;0.0;0.0;0.0
2016-12-18;Product_01;Customer_01;2;2;105.60906222521078;0.0;0.0;0.0
2016-12-25;Product_01;Customer_01;262;262;94.49231883308333;0.0;0.0;0.0
2017-01-01;Product_01;Customer_01;0;0;92.26897015465784;0.0;0.0;0.0
2017-01-08;Product_01;Customer_01;131;131;102.27403920757254;0.0;0.0;0.0
2017-01-15;Product_01;Customer_01;0;0;110.05575958206175;0.9;0.0;0.0
2017-01-22;Product_01;Customer_01;77;77;100.05069052914706;0.0;0.0;0.0
2017-01-29;Product_01;Customer_01;210;210;107.83241090363627;1.0;0.0;0.0
2017-02-05;Product_01;Customer_01;59;59;98.9390161899343;0.0;0.0;0.0
2017-02-12;Product_01;Customer_01;203;203;102.27403920757254;0.0;0.0;0.0
2017-02-19;Product_01;Customer_01;131;131;100.05069052914706;0.8;0.0;0.0
2017-02-26;Product_01;Customer_01;262;262;91.1572958154451;0.0;0.0;0.0
2017-03-05;Product_01;Customer_01;104;104;100.05069052914706;0.0;0.0;0.0
2017-03-12;Product_01;Customer_01;72;72;110.05575958206175;0.9;0.0;0.0
2017-03-19;Product_01;Customer_01;137;137;103.3857135467853;0.1;0.0;0.0
2017-03-26;Product_01;Customer_01;3;3;176.75621993482648;3.1;1.0;1.0
2017-04-02;Product_01;Customer_01;259;259;116.72580561733822;0.0;0.0;0.0
2017-04-09;Product_01;Customer_01;130;130;112.27910826048725;0.0;0.0;0.0
2017-04-16;Product_01;Customer_01;58;58;108.94408524284901;0.0;0.0;0.0
2017-04-23;Product_01;Customer_01;74;74;98.9390161899343;0.4;0.0;0.0
2017-04-30;Product_01;Customer_01;303;303;101.1623648683598;0.4;0.0;0.0
2017-05-07;Product_01;Customer_01;63;63;107.83241090363627;0.5;0.0;0.0
2017-05-14;Product_01;Customer_01;130;130;100.05069052914706;0.0;0.0;0.0
2017-05-21;Product_01;Customer_01;131;131;175.64454559561372;2.8000000000000003;0.0;0.0
2017-05-28;Product_01;Customer_01;59;59;112.27910826048725;0.4;0.0;0.0
2017-06-04;Product_01;Customer_01;131;131;103.3857135467853;0.30000000000000004;0.0;0.0
2017-06-11;Product_01;Customer_01;190;190;106.72073656442353;0.4;0.0;0.0
2017-06-18;Product_01;Customer_01;201;201;107.83241090363627;0.30000000000000004;0.0;0.0
2017-06-25;Product_01;Customer_01;1;1;211.21812445042156;3.8;1.0;1.0
2017-07-02;Product_01;Customer_01;130;130;110.05575958206175;0.1;0.0;0.0
2017-07-09;Product_01;Customer_01;131;131;114.50245693891274;0.0;0.0;0.0
2017-07-16;Product_01;Customer_01;58;58;106.72073656442353;0.0;0.0;0.0
2017-07-23;Product_01;Customer_01;260;260;155.6344074897843;0.0;0.0;0.0
2017-07-30;Product_01;Customer_01;57;57;101.1623648683598;0.1;0.0;0.0
2017-08-06;Product_01;Customer_01;74;74;90.04562147623236;0.0;0.0;0.0
2017-08-13;Product_01;Customer_01;261;261;108.94408524284901;0.1;0.0;0.0
2017-08-20;Product_01;Customer_01;6;6;110.05575958206175;0.0;0.0;0.0
2017-08-27;Product_01;Customer_01;188;188;104.49738788599804;0.0;0.0;0.0
2017-09-03;Product_01;Customer_01;2;2;120.06082863497646;0.1;0.0;0.0
